Activity_Type,Date,Month_Numeric,Month,Year,Week_of_Year,Title,Distance,Distance_Group,DistanceGroupId,Calories,Time,Weekly_Cumulative_Mins,Weekly_Mins_Prior_to_Run,Monthly_Cumulative_Mins,Monthly_Mins_Prior_to_Run,Avg_HR,Max_HR,Aerobic_TE,Avg_Run_Cadence,Max_Run_Cadence,Avg_Pace,Best_Pace,Total_Ascent,Total_Descent,Avg_Stride_Length,Avg_Vertical_Ratio,Avg_Vertical_Oscillation,Avg_Ground_Contact_Time,Normalized_Power_NP,Avg_Power,Max_Power,Steps,Moving_Time,Elapsed_Time,Min_Elevation,Max_Elevation,Idle_Time
Running,2025-01-14,1,Jan,2025,3,Charlotte Running,4.0,3-5 miles,2,489,00:35:54,00:35:54,0.0,00:35:54,0.0,163,183,3.7,178,188,00:08:58,00:08:16,289,305,1.0,8.2,8.3,249,325,314,463,"6,376",00:35:49,00:35:54,643,755,00:00:05
Running,2025-01-08,1,Jan,2025,2,Charlotte Running,7.0,7-10 miles,4,857,01:04:59,01:04:59,0.0,01:40:53,35.9,155,173,4.0,178,190,00:09:17,00:06:28,269,318,0.97,8.4,8.1,251,301,296,431,"11,554",01:04:57,01:05:04,691,775,00:00:07
Running,2025-01-07,1,Jan,2025,2,Charlotte Running,3.14,3-5 miles,2,375,00:29:35,01:34:34,64.98,02:10:28,100.88,149,175,3.1,180,190,00:09:26,00:08:47,230,249,0.94,8.4,7.9,250,311,298,449,"5,310",00:29:33,00:29:35,652,763,00:00:02
Running,2024-12-22,12,Dec,2024,51,Kiawah Island Running,3.7,3-5 miles,2,446,00:33:16,00:33:16,0.0,00:33:16,0.0,156,164,3.3,185,192,00:08:59,00:08:14,39,13,0.96,8.0,7.7,242,315,311,365,"6,142",00:33:08,00:33:16,4,41,00:00:08
Running,2024-12-14,12,Dec,2024,50,Kiawah Island Running,26.52,13+ miles,6,"3,000",03:39:23,03:39:23,0.0,04:12:39,33.27,162,185,5.0,185,203,00:08:16,00:04:03,157,154,1.05,7.6,8.0,236,337,334,630,"40,462",03:38:50,03:39:23,-10,20,00:00:33
Running,2024-12-13,12,Dec,2024,50,Kiawah Island Running,2.01,0-3 miles,1,239,00:20:43,04:00:06,219.38,04:33:22,252.65,137,145,2.2,176,183,00:10:18,00:09:31,20,13,0.88,8.9,7.9,260,271,268,310,"3,640",00:20:39,00:20:52,2,20,00:00:13
Running,2024-12-11,12,Dec,2024,50,Charlotte Running,2.01,0-3 miles,1,232,00:18:08,04:18:14,240.1,04:51:30,273.37,142,165,2.6,182,192,00:09:02,00:06:23,72,118,0.97,8.1,7.8,244,310,302,508,"3,288",00:18:06,00:18:08,718,776,00:00:02
Running,2024-12-10,12,Dec,2024,50,Charlotte Running,4.01,3-5 miles,2,476,00:35:15,04:53:29,258.23,05:26:45,291.5,153,169,3.4,180,192,00:08:48,00:06:04,351,174,1.01,8.1,8.1,245,320,313,612,"6,324",00:35:11,00:35:15,738,783,00:00:04
Running,2024-12-09,12,Dec,2024,50,Charlotte Running,3.01,3-5 miles,2,363,00:27:15,05:20:44,293.48,05:54:00,326.75,153,180,3.2,180,190,00:09:04,00:08:19,217,226,0.98,8.2,8.0,247,322,310,446,"4,916",00:27:11,00:27:15,652,755,00:00:04
Running,2024-12-07,12,Dec,2024,49,Charlotte Running,8.0,7-10 miles,4,933,01:03:07,01:03:07,0.0,06:57:07,354.0,170,180,5.0,183,196,00:07:53,00:05:40,331,335,1.11,7.5,8.3,233,350,344,527,"11,530",01:02:48,01:04:33,703,766,00:01:45
Running,2024-11-20,11,Nov,2024,47,Charlotte Running,10.02,10-13 miles,5,"1,258",01:27:55,01:27:55,0.0,01:27:55,0.0,170,185,5.0,178,194,00:08:47,00:06:54,400,459,1.02,8.1,8.3,247,329,321,510,"15,668",01:27:52,01:27:55,604,764,00:00:03
Running,2024-11-19,11,Nov,2024,47,Charlotte Running,5.01,5-7 miles,3,626,00:46:44,02:14:39,87.92,02:14:39,87.92,162,179,3.5,177,188,00:09:20,00:08:43,358,614,0.97,8.4,8.2,253,311,303,431,"8,258",00:46:40,00:46:44,657,764,00:00:04
Running,2024-11-13,11,Nov,2024,46,Charlotte Running,9.0,7-10 miles,4,"1,016",01:15:44,01:15:44,0.0,03:30:23,134.65,154,176,4.1,180,200,00:08:25,00:04:02,322,348,1.06,7.9,8.3,241,340,329,602,"13,624",01:15:41,01:15:44,680,760,00:00:03
Running,2024-11-12,11,Nov,2024,46,Charlotte Running,5.0,5-7 miles,3,573,00:45:30,02:01:14,75.73,04:15:53,210.38,146,168,3.2,179,189,00:09:05,00:08:21,351,387,0.98,8.2,8.1,248,318,306,453,"8,164",00:45:25,00:45:30,644,766,00:00:05
Running,2024-11-09,11,Nov,2024,45,Charlotte Running,18.0,13+ miles,6,"2,088",02:50:52,02:50:52,0.0,07:06:45,255.88,150,169,4.6,178,192,00:09:29,00:05:34,564,617,0.95,8.5,8.0,253,297,292,479,"30,422",02:50:43,02:50:52,566,776,00:00:09
Running,2024-11-07,11,Nov,2024,45,Mt Pleasant Running,5.01,5-7 miles,3,616,00:43:00,03:33:52,170.87,07:49:45,426.75,170,181,3.9,183,190,00:08:35,00:07:46,3,10,1.02,7.9,8.0,240,311,310,349,"7,834",00:42:58,00:43:00,-4,9,00:00:02
Running,2024-11-05,11,Nov,2024,45,Mt Pleasant Running,5.0,5-7 miles,3,605,00:41:42,04:15:34,213.87,08:31:27,469.75,170,185,4.0,179,189,00:08:20,00:06:26,7,10,1.07,7.9,8.4,242,332,325,443,"7,458",00:41:39,00:41:42,-10,1,00:00:03
Running,2024-11-02,11,Nov,2024,44,Charlotte Running,12.01,10-13 miles,5,"1,419",01:47:37,01:47:37,0.0,10:19:04,511.45,155,170,4.3,177,191,00:08:58,00:05:46,479,535,1.0,8.2,8.3,249,310,306,487,"19,132",01:47:18,01:48:23,637,782,00:01:05
Running,2024-10-31,10,Oct,2024,44,Charlotte Running,5.01,5-7 miles,3,611,00:45:36,02:33:13,107.62,00:45:36,0.0,155,171,3.5,177,188,00:09:06,00:06:43,266,253,1.0,8.4,8.3,252,316,311,436,"8,036",00:45:30,00:45:36,703,807,00:00:06
Running,2024-10-30,10,Oct,2024,44,Charlotte Running,8.0,7-10 miles,4,944,01:14:21,03:47:34,153.22,01:59:57,45.6,149,164,3.5,176,188,00:09:17,00:05:07,285,335,0.97,8.4,8.2,253,299,294,535,"13,126",01:14:15,01:14:47,669,780,00:00:32
Running,2024-10-29,10,Oct,2024,44,Charlotte Running,4.0,3-5 miles,2,497,00:39:08,04:26:42,227.57,02:39:05,119.95,153,171,3.0,177,184,00:09:46,00:08:44,276,289,0.93,8.6,8.0,256,297,288,398,"6,924",00:38:55,00:39:08,651,768,00:00:13
Running,2024-10-27,10,Oct,2024,43,Charlotte Running,16.01,13+ miles,6,"1,883",02:19:22,02:19:22,0.0,04:58:27,159.08,163,171,5.0,179,244,00:08:42,00:05:53,722,781,1.03,8.1,8.3,246,325,320,487,"24,880",02:19:19,02:19:22,658,775,00:00:03
Treadmill Running,2024-10-24,10,Oct,2024,43,Treadmill Running,4.0,3-5 miles,2,500,00:34:59,02:54:21,139.37,05:33:26,298.45,160,168,3.5,182,189,00:08:45,00:07:40,--,--,0.71,9.7,6.8,264,220,216,368,"6,350",00:34:48,00:34:59,--,--,00:00:11
Running,2024-10-22,10,Oct,2024,43,Charlotte Running,8.01,7-10 miles,4,913,01:12:11,04:06:32,174.35,06:45:37,333.43,145,161,3.4,178,187,00:09:01,00:05:56,266,302,1.0,8.3,8.2,249,309,304,473,"12,840",01:12:06,01:12:11,686,772,00:00:05
Running,2024-10-21,10,Oct,2024,43,Charlotte Running,4.0,3-5 miles,2,491,00:35:33,04:42:05,246.53,07:21:10,405.62,159,171,3.3,178,196,00:08:53,00:07:30,279,285,1.01,8.1,8.2,247,323,314,429,"6,336",00:35:23,00:35:33,638,753,00:00:10
Running,2024-10-19,10,Oct,2024,42,Charlotte Running,15.0,13+ miles,6,"1,744",02:13:51,02:13:51,0.0,09:35:01,441.17,150,161,4.4,176,188,00:08:55,00:05:40,610,633,1.02,8.2,8.4,250,317,312,533,"23,584",02:13:38,02:14:15,646,786,00:00:37
Running,2024-10-17,10,Oct,2024,42,Charlotte Running,4.01,3-5 miles,2,486,00:34:33,02:48:24,133.85,10:09:34,575.02,157,171,3.4,176,187,00:08:37,00:05:12,154,197,1.05,8.1,8.5,248,324,318,491,"6,082",00:34:28,00:34:33,705,776,00:00:05
Running,2024-10-16,10,Oct,2024,42,Charlotte Running,7.01,7-10 miles,4,850,00:57:59,03:46:23,168.4,11:07:33,609.57,166,178,4.5,179,192,00:08:17,00:05:48,131,164,1.1,7.8,8.6,241,339,334,509,"10,330",00:57:57,00:57:59,705,751,00:00:02
Running,2024-10-15,10,Oct,2024,42,Charlotte Running,3.1,3-5 miles,2,335,00:27:27,04:13:50,226.38,11:35:00,667.55,136,157,2.6,182,190,00:08:51,00:08:11,230,230,0.99,8.0,8.0,244,327,316,469,"4,970",00:27:24,00:27:27,662,762,00:00:03
