calendarDate,sleepDurationHours,sleepDuration,sleepDurationFormatted,deepSleepHours,lightSleepHours,remSleepHours,awakeSleepHours,unmeasurableHours,averageRespiration,lowestRespiration,highestRespiration,awakeCount,avgSleepStress,restlessMomentCount,overallScore,qualityScore,durationScore,recoveryScore,deepScore,remScore,lightScore,awakeningsCountScore,awakeTimeScore,combinedAwakeScore,restfulnessScore,interruptionsScore,feedback,insight
2023-11-26,11.0,0 days 11:03:00,11:03:00,1.0,7.6,2.2,0.3,0.0,13.0,11.0,25.0,1.0,3.880000114440918,75.0,87.0,85.0,100.0,100.0,67.0,78.0,72.0,87.0,83.0,85.0,68.0,81.0,POSITIVE_LONG_AND_RECOVERING,NONE
2023-11-27,8.2,0 days 08:11:00,08:11:00,1.1,5.2,1.5,0.4,0.0,13.0,10.0,19.0,2.0,5.690000057220459,51.0,86.0,84.0,95.0,100.0,77.0,77.0,77.0,74.0,77.0,75.0,73.0,75.0,POSITIVE_LONG_AND_RECOVERING,NONE
2023-11-28,6.2,0 days 06:11:00,06:11:00,1.4,3.4,0.8,0.5,0.0,14.0,11.0,21.0,2.0,20.690000534057617,26.0,68.0,76.0,61.0,69.0,100.0,68.0,87.0,74.0,68.0,71.0,89.0,75.0,POSITIVE_DEEP,POSITIVE_RESTFUL_EVENING
2023-11-29,8.0,0 days 07:59:00,07:59:00,2.1,3.9,1.9,0.1,0.0,13.0,10.0,16.0,0.0,16.299999237060547,37.0,92.0,91.0,98.0,77.0,100.0,98.0,100.0,100.0,100.0,100.0,88.0,97.0,POSITIVE_OPTIMAL_STRUCTURE,POSITIVE_STRESSFUL_DAY
2023-11-30,7.4,0 days 07:26:00,07:26:00,2.0,3.6,1.9,0.0,0.0,13.0,11.0,20.0,0.0,14.09000015258789,33.0,90.0,94.0,86.0,84.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,98.0,POSITIVE_OPTIMAL_STRUCTURE,NONE
2023-12-01,8.3,0 days 08:17:00,08:17:00,1.6,4.3,2.0,0.4,0.0,13.0,11.0,16.0,1.0,14.479999542236328,38.0,90.0,88.0,97.0,82.0,99.0,100.0,97.0,87.0,75.0,81.0,88.0,83.0,POSITIVE_OPTIMAL_STRUCTURE,POSITIVE_STRESSFUL_DAY
2023-12-02,9.8,0 days 09:49:00,09:49:00,1.1,6.2,2.5,0.1,0.0,13.0,11.0,21.0,0.0,18.059999465942383,41.0,87.0,86.0,100.0,74.0,70.0,100.0,81.0,100.0,100.0,100.0,93.0,99.0,POSITIVE_LONG_AND_REFRESHING,POSITIVE_STRESSFUL_DAY
2023-12-03,9.9,0 days 09:56:00,09:56:00,1.1,7.0,1.6,0.2,0.0,13.0,11.0,17.0,1.0,13.569999694824219,55.0,85.0,81.0,100.0,86.0,70.0,72.0,70.0,87.0,87.0,87.0,79.0,85.0,POSITIVE_LONG_AND_CONTINUOUS,POSITIVE_LATE_BED_TIME
2023-12-04,8.2,0 days 08:14:00,08:14:00,1.6,4.8,1.5,0.3,0.0,13.0,10.0,16.0,2.0,14.0600004196167,37.0,87.0,83.0,97.0,84.0,99.0,76.0,86.0,74.0,79.0,76.0,88.0,78.0,POSITIVE_LONG_AND_DEEP,NONE
2023-12-05,9.2,0 days 09:14:00,09:14:00,1.4,5.4,2.1,0.3,0.0,13.0,11.0,15.0,1.0,13.600000381469727,44.0,91.0,87.0,100.0,86.0,81.0,96.0,87.0,87.0,85.0,86.0,86.0,86.0,POSITIVE_OPTIMAL_STRUCTURE,NONE
2023-12-06,8.5,0 days 08:29:00,08:29:00,1.6,5.0,1.8,0.1,0.0,13.0,11.0,21.0,0.0,12.65999984741211,34.0,95.0,93.0,100.0,89.0,96.0,86.0,89.0,100.0,100.0,100.0,95.0,99.0,POSITIVE_OPTIMAL_STRUCTURE,POSITIVE_EXERCISE
2023-12-07,8.5,0 days 08:28:00,08:28:00,1.0,5.4,1.9,0.1,0.0,13.0,11.0,15.0,1.0,15.4399995803833,45.0,88.0,84.0,100.0,79.0,72.0,95.0,79.0,87.0,96.0,91.0,81.0,89.0,POSITIVE_LONG_AND_REFRESHING,POSITIVE_EXERCISE
2023-12-08,8.8,0 days 08:51:00,08:51:00,1.6,5.5,1.3,0.5,0.0,13.0,11.0,20.0,2.0,18.030000686645508,50.0,82.0,77.0,100.0,74.0,96.0,69.0,78.0,74.0,73.0,73.0,76.0,74.0,POSITIVE_LONG_AND_DEEP,NONE
2023-12-09,8.8,0 days 08:49:00,08:49:00,1.5,5.2,1.5,0.6,0.0,14.0,11.0,17.0,1.0,15.460000038146973,48.0,85.0,80.0,100.0,79.0,93.0,75.0,82.0,87.0,64.0,75.0,77.0,76.0,POSITIVE_LONG_AND_DEEP,POSITIVE_STRESSFUL_DAY
2023-12-10,10.8,0 days 10:48:00,10:48:00,1.9,6.8,1.7,0.4,0.0,13.0,11.0,20.0,2.0,22.049999237060547,61.0,80.0,74.0,100.0,66.0,91.0,70.0,78.0,74.0,77.0,75.0,77.0,76.0,POSITIVE_LONG_AND_DEEP,POSITIVE_LATE_BED_TIME
2023-12-11,9.2,0 days 09:15:00,09:15:00,1.9,4.7,2.3,0.4,0.0,14.0,9.0,21.0,2.0,5.610000133514404,47.0,93.0,92.0,100.0,100.0,100.0,100.0,100.0,74.0,78.0,76.0,82.0,77.0,POSITIVE_HIGHLY_RECOVERING,NONE
2023-12-12,8.0,0 days 08:03:00,08:03:00,1.5,4.8,1.3,0.4,0.0,13.0,11.0,19.0,1.0,12.90999984741211,37.0,86.0,85.0,91.0,88.0,97.0,72.0,81.0,87.0,74.0,80.0,88.0,82.0,POSITIVE_LONG_AND_DEEP,NONE
2023-12-13,7.8,0 days 07:47:00,07:47:00,0.9,5.5,1.1,0.2,0.0,13.0,10.0,15.0,1.0,16.219999313354492,40.0,81.0,78.0,89.0,78.0,73.0,68.0,69.0,87.0,88.0,87.0,82.0,86.0,POSITIVE_LONG_AND_CONTINUOUS,POSITIVE_STRESSFUL_DAY
2023-12-14,8.6,0 days 08:37:00,08:37:00,1.4,5.0,1.9,0.4,0.0,13.0,11.0,16.0,1.0,13.869999885559082,59.0,88.0,83.0,100.0,85.0,82.0,90.0,85.0,87.0,76.0,81.0,68.0,79.0,POSITIVE_LONG_AND_REFRESHING,POSITIVE_EXERCISE
2023-12-15,8.1,0 days 08:04:00,08:04:00,1.7,4.0,1.9,0.5,0.0,13.0,11.0,20.0,2.0,7.110000133514404,63.0,86.0,90.0,90.0,100.0,100.0,100.0,100.0,74.0,72.0,73.0,57.0,70.0,NEGATIVE_LONG_BUT_RESTLESS,NEGATIVE_STRESSFUL_DAY
2023-12-16,8.7,0 days 08:44:00,08:44:00,1.5,4.5,2.1,0.6,0.0,13.0,9.0,16.0,2.0,19.190000534057617,23.0,84.0,81.0,100.0,72.0,90.0,100.0,95.0,74.0,64.0,69.0,100.0,75.0,POSITIVE_LONG_AND_REFRESHING,POSITIVE_STRESSFUL_DAY
2023-12-17,9.4,0 days 09:26:00,09:26:00,1.0,6.2,1.6,0.7,0.0,14.0,11.0,19.0,2.0,42.310001373291016,41.0,49.0,48.0,100.0,0.0,71.0,74.0,72.0,74.0,61.0,67.0,88.0,72.0,NEGATIVE_LONG_BUT_NOT_RESTORATIVE,NEGATIVE_HIGHLY_STRESSFUL_DAY
2023-12-18,7.8,0 days 07:48:00,07:48:00,1.2,5.7,0.9,0.0,0.0,14.0,12.0,18.0,0.0,9.470000267028809,54.0,86.0,87.0,95.0,100.0,78.0,61.0,68.0,100.0,100.0,100.0,68.0,92.0,POSITIVE_LONG_AND_RECOVERING,POSITIVE_LATE_BED_TIME
2023-12-19,8.9,0 days 08:55:00,08:55:00,1.4,5.4,1.5,0.7,0.0,13.0,11.0,16.0,3.0,19.760000228881836,53.0,77.0,71.0,100.0,70.0,83.0,75.0,79.0,61.0,61.0,61.0,73.0,63.0,POSITIVE_LONG_AND_DEEP,POSITIVE_STRESSFUL_DAY
