calendarDate,Year,Month,MonthName,Quarter,Day,totalKilocalories,activeKilocalories,bmrKilocalories,totalSteps,totalDistanceMeters,highlyActiveSeconds,activeSeconds,moderateIntensityMinutes,vigorousIntensityMinutes,minHeartRate,maxHeartRate,restingHeartRate,currentDayRestingHeartRate,isVigorousDay,averageStressLevel,averageStressLevelIntensity,maxStressLevel,stressIntensityCount,stressOffWristCount,totalStressCount,totalStressIntensity,stressDuration,stressTooActiveCount,restDuration,activityDuration,mediumDuration,highDuration
2023-11-24,2023,11,November,4,24,2052,0,2052,19,15,0,30,0,0,78,79,43,43,0,42,41,50,10,246,256,-224,600,179,33074,10751,12004,12784
2023-11-25,2023,11,November,4,25,3183,1131,2052,13263,10367,1725,12036,23,10,52,141,68,68,0,53,47,100,319,889,1432,-9597,15360,224,3780,13440,6600,4200
2023-11-26,2023,11,November,4,26,2536,484,2052,5195,4054,527,3468,15,25,40,175,56,43,0,18,14,93,1170,159,1438,52412,18000,109,52200,6540,5280,2520
2023-11-27,2023,11,November,4,27,2249,197,2052,6601,5160,724,3164,0,0,40,113,51,43,0,34,22,96,1182,70,1408,15097,32580,156,38340,9360,11400,13500
2023-11-28,2023,11,November,4,28,3009,957,2052,9622,6974,2788,4783,44,55,40,182,50,45,0,53,43,99,1136,113,1435,-28475,47280,186,20880,11160,16560,23880
2023-11-29,2023,11,November,4,29,2865,813,2052,10054,5099,3451,2993,35,30,40,154,48,42,0,35,23,99,1120,145,1437,9675,30960,172,36240,10320,9060,12480
2023-11-30,2023,11,November,4,30,2804,752,2052,9693,7554,3802,2219,48,38,42,183,48,45,0,45,33,99,1167,103,1424,-12405,42360,154,27660,9240,16320,18300
2023-12-01,2023,12,December,4,1,2601,549,2052,10226,7160,3908,2119,50,12,43,143,48,48,0,45,35,99,1171,59,1389,-16171,43740,159,26520,9540,14460,16140
2023-12-02,2023,12,December,4,2,3020,968,2052,11377,8598,2928,6557,60,38,43,173,45,48,0,40,28,99,1074,115,1350,-4405,33840,161,30600,9660,14340,10680
2023-12-03,2023,12,December,4,3,3509,1457,2052,11254,8568,1327,12348,26,6,44,142,46,49,0,44,30,99,983,153,1369,-7157,25380,233,33600,13980,1920,20940
